* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
2, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_knight, 10, 1, 1
3, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one, 10, 1, 1
4, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:spider, 80, 4, 4
5, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie, 80, 4, 4
6, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:zombie_villager, 10, 1, 1
7, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:skeleton, 80, 4, 4
8, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:creeper, 80, 4, 4
9, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:slime, 80, 4, 4
10, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:witch, 5, 1, 1
11, ocean, alexscaves:abyssal_chasm, MONSTER, minecraft:drowned, 10, 1, 1
12, ocean, alexscaves:abyssal_chasm, MONSTER, alexsmobs:farseer, 30, 1, 1
13, ocean, alexscaves:abyssal_chasm, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
14, ocean, alexscaves:abyssal_chasm, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
15, ocean, alexscaves:abyssal_chasm, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
16, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 80, 4, 6
17, ocean, alexscaves:abyssal_chasm, UNDERGROUND_WATER_CREATURE, alexscaves:hullbreaker, 20, 1, 1
18, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:squid, 10, 1, 4
19, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
20, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
21, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
22, ocean, alexscaves:abyssal_chasm, WATER_CREATURE, alexsmobs:giant_squid, 10, 1, 2
23, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexscaves:lanternfish, 80, 15, 20
24, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
25, ocean, alexscaves:abyssal_chasm, WATER_AMBIENT, alexsmobs:comb_jelly, 10, 2, 3
26, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:tripodfish, 40, 1, 2
27, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:sea_pig, 50, 3, 4
28, ocean, alexscaves:abyssal_chasm, deep_sea_creature, alexscaves:gossamer_worm, 20, 1, 1
29, none, terralith:alpha_islands, MONSTER, minecraft:spider, 80, 4, 4
30, none, terralith:alpha_islands, MONSTER, minecraft:zombie, 80, 4, 4
31, none, terralith:alpha_islands, MONSTER, minecraft:skeleton, 80, 4, 4
32, none, terralith:alpha_islands, MONSTER, minecraft:creeper, 80, 4, 4
33, none, terralith:alpha_islands, MONSTER, minecraft:slime, 80, 4, 4
34, none, terralith:alpha_islands, MONSTER, embers:ancient_golem, 15, 1, 1
35, none, terralith:alpha_islands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
36, none, terralith:alpha_islands, MONSTER, alexsmobs:farseer, 30, 1, 1
37, none, terralith:alpha_islands, MONSTER, alexsmobs:murmur, 10, 1, 1
38, none, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
39, none, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
40, none, terralith:alpha_islands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
41, none, terralith:alpha_islands, CREATURE, minecraft:sheep, 12, 2, 2
42, none, terralith:alpha_islands, CREATURE, minecraft:pig, 10, 2, 2
43, none, terralith:alpha_islands, CREATURE, minecraft:chicken, 10, 2, 2
44, none, terralith:alpha_islands, CREATURE, minecraft:cow, 10, 2, 2
45, none, terralith:alpha_islands, CREATURE, minecraft:wolf, 10, 2, 2
46, none, terralith:alpha_islands, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
47, none, terralith:alpha_islands, AMBIENT, alexsmobs:fly, 10, 2, 3
48, none, terralith:alpha_islands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
49, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
50, none, terralith:alpha_islands, UNDERGROUND_WATER_CREATURE, minecraft:axolotl, 10, 4, 6
51, none, terralith:alpha_islands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
52, none, terralith:alpha_islands_winter, MONSTER, minecraft:spider, 80, 4, 4
53, none, terralith:alpha_islands_winter, MONSTER, minecraft:zombie, 80, 4, 4
54, none, terralith:alpha_islands_winter, MONSTER, minecraft:skeleton, 80, 4, 4
55, none, terralith:alpha_islands_winter, MONSTER, minecraft:creeper, 80, 4, 4
56, none, terralith:alpha_islands_winter, MONSTER, minecraft:slime, 80, 4, 4
57, none, terralith:alpha_islands_winter, MONSTER, embers:ancient_golem, 15, 1, 1
58, none, terralith:alpha_islands_winter, MONSTER, alexsmobs:centipede_head, 10, 1, 1
59, none, terralith:alpha_islands_winter, MONSTER, alexsmobs:farseer, 30, 1, 1
60, none, terralith:alpha_islands_winter, MONSTER, alexsmobs:murmur, 10, 1, 1
61, none, terralith:alpha_islands_winter, MONSTER, iceandfire:dread_lich, 10, 1, 1
62, none, terralith:alpha_islands_winter, MONSTER, iceandfire:troll, 40, 1, 3
63, none, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
64, none, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
65, none, terralith:alpha_islands_winter, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
66, none, terralith:alpha_islands_winter, CREATURE, minecraft:sheep, 12, 2, 2
67, none, terralith:alpha_islands_winter, CREATURE, minecraft:pig, 10, 2, 2
68, none, terralith:alpha_islands_winter, CREATURE, minecraft:chicken, 10, 2, 2
69, none, terralith:alpha_islands_winter, CREATURE, minecraft:cow, 10, 2, 2
70, none, terralith:alpha_islands_winter, CREATURE, minecraft:wolf, 10, 2, 2
71, none, terralith:alpha_islands_winter, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
72, none, terralith:alpha_islands_winter, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
73, none, terralith:alpha_islands_winter, AMBIENT, alexsmobs:fly, 10, 2, 3
74, none, terralith:alpha_islands_winter, AMBIENT, alexsmobs:cockroach, 10, 5, 5
75, none, terralith:alpha_islands_winter, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
76, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
77, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 4, 4
78, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
79, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
80, forest, terralith:alpine_grove, MONSTER, minecraft:creeper, 80, 4, 4
81, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
82, forest, terralith:alpine_grove, MONSTER, minecraft:enderman, 5, 1, 4
83, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
84, forest, terralith:alpine_grove, MONSTER, embers:ancient_golem, 15, 1, 1
85, forest, terralith:alpine_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
86, forest, terralith:alpine_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
87, forest, terralith:alpine_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
88, forest, terralith:alpine_grove, MONSTER, iceandfire:dread_lich, 10, 1, 1
89, forest, terralith:alpine_grove, MONSTER, iceandfire:troll, 40, 1, 3
90, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
91, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
92, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
93, forest, terralith:alpine_grove, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
94, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 4, 4
95, forest, terralith:alpine_grove, CREATURE, minecraft:pig, 10, 4, 4
96, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 4, 4
97, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 10, 4, 4
98, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 10, 2, 2
99, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 10, 2, 3
100, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 10, 1, 2
101, forest, terralith:alpine_grove, CREATURE, hexerei:crow, 20, 2, 5
102, forest, terralith:alpine_grove, CREATURE, crittersandcompanions:leaf_insect, 12, 1, 1
103, forest, terralith:alpine_grove, CREATURE, crittersandcompanions:ferret, 10, 2, 3
104, forest, terralith:alpine_grove, CREATURE, crittersandcompanions:jumping_spider, 10, 1, 1
105, forest, terralith:alpine_grove, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
106, forest, terralith:alpine_grove, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
107, forest, terralith:alpine_grove, CREATURE, alexsmobs:moose, 10, 3, 4
108, forest, terralith:alpine_grove, CREATURE, alexsmobs:raccoon, 10, 2, 4
109, forest, terralith:alpine_grove, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
110, forest, terralith:alpine_grove, CREATURE, alexsmobs:crow, 10, 3, 5
111, forest, terralith:alpine_grove, CREATURE, alexsmobs:bald_eagle, 15, 2, 4
112, forest, terralith:alpine_grove, CREATURE, alexsmobs:blue_jay, 16, 2, 4
113, forest, terralith:alpine_grove, CREATURE, iceandfire:hippogryph, 10, 1, 1
114, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
115, forest, terralith:alpine_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
116, forest, terralith:alpine_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
117, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
118, forest, terralith:alpine_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
119, none, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
120, none, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 4, 4
121, none, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
122, none, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
123, none, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
124, none, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
125, none, terralith:alpine_highlands, MONSTER, minecraft:enderman, 5, 1, 4
126, none, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
127, none, terralith:alpine_highlands, MONSTER, embers:ancient_golem, 15, 1, 1
128, none, terralith:alpine_highlands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
129, none, terralith:alpine_highlands, MONSTER, alexsmobs:farseer, 30, 1, 1
130, none, terralith:alpine_highlands, MONSTER, alexsmobs:murmur, 10, 1, 1
131, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_creeper, 10, 1, 1
132, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_enderman, 10, 1, 1
133, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_skeleton, 10, 1, 1
134, none, terralith:alpine_highlands, MONSTER, mutantmonsters:mutant_zombie, 10, 1, 1
135, none, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 4, 4
136, none, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 4, 4
137, none, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 4, 4
138, none, terralith:alpine_highlands, CREATURE, minecraft:cow, 10, 4, 4
139, none, terralith:alpine_highlands, CREATURE, minecraft:horse, 10, 1, 3
140, none, terralith:alpine_highlands, CREATURE, minecraft:donkey, 10, 1, 3
141, none, terralith:alpine_highlands, CREATURE, minecraft:wolf, 10, 4, 4
142, none, terralith:alpine_highlands, CREATURE, forbidden_arcanus:lost_soul, 35, 1, 3
143, none, terralith:alpine_highlands, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
144, none, terralith:alpine_highlands, CREATURE, alexsmobs:raccoon, 10, 2, 4
145, none, terralith:alpine_highlands, CREATURE, alexsmobs:crow, 10, 3, 5
146, none, terralith:alpine_highlands, CREATURE, alexsmobs:gelada_monkey, 10, 9, 16
147, none, terralith:alpine_highlands, CREATURE, alexsmobs:bison, 10, 6, 10
148, none, terralith:alpine_highlands, CREATURE, alexsmobs:blue_jay, 16, 2, 4
149, none, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
150, none, terralith:alpine_highlands, AMBIENT, alexsmobs:fly, 10, 2, 3
151, none, terralith:alpine_highlands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
152, none, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
153, none, terralith:alpine_highlands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
154, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
155, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 4, 4
156, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
157, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
158, jungle, terralith:amethyst_canyon, MONSTER, minecraft:creeper, 80, 4, 4
159, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
160, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 5, 1, 4
161, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
162, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 10, 1, 3
163, jungle, terralith:amethyst_canyon, MONSTER, embers:ancient_golem, 15, 1, 1
164, jungle, terralith:amethyst_canyon, MONSTER, alexsmobs:centipede_head, 10, 1, 1
165, jungle, terralith:amethyst_canyon, MONSTER, alexsmobs:farseer, 30, 1, 1
166, jungle, terralith:amethyst_canyon, MONSTER, alexsmobs:murmur, 10, 1, 1
167, jungle, terralith:amethyst_canyon, MONSTER, iceandfire:troll, 40, 1, 3
