* This is the StructMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to StructMobWeight.csv.
* Lines starting with '*' are comments and ignored
* It allows you to add and remove mobs and adjust their spawnweights for Structures
* like shipwrecks, nether fortresses, water monuments, etc.
* 
1, idas:abandonedhouse, HEADING, header:ignore, 0, 0, 0
2, alexscaves:abyssal_ruins, HEADING, header:ignore, 0, 0, 0
3, alexscaves:abyssal_ruins, MONSTER, alexscaves:mine_guardian, 20, 1, 2
4, alexscaves:acid_pit, HEADING, header:ignore, 0, 0, 0
5, integrated_villages:airship_village, HEADING, header:ignore, 0, 0, 0
6, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
7, idas:ancient_mines, HEADING, header:ignore, 0, 0, 0
8, idas:ancient_mines, MONSTER, minecraft:silverfish, 10, 1, 1
9, idas:ancient_mines, MONSTER, quark:wraith, 10, 1, 1
10, idas:ancient_portal/ancient_portal, HEADING, header:ignore, 0, 0, 0
11, idas:ancient_portal/ancient_portal, MONSTER, minecraft:silverfish, 10, 1, 4
12, idas:ancient_portal/ancient_portal, MONSTER, quark:wraith, 10, 1, 4
13, idas:ancient_portal/nether_ancient_portal, HEADING, header:ignore, 0, 0, 0
14, idas:ancient_portal/nether_ancient_portal, MONSTER, quark:wraith, 10, 1, 1
15, idas:ancient_statue/ancient_statue_desert, HEADING, header:ignore, 0, 0, 0
16, idas:ancient_statue/ancient_statue_jungle, HEADING, header:ignore, 0, 0, 0
17, idas:ancient_statue/ancient_statue_plains, HEADING, header:ignore, 0, 0, 0
18, deeperdarker:ancient_temple, HEADING, header:ignore, 0, 0, 0
19, idas:animal_den/forest_den, HEADING, header:ignore, 0, 0, 0
20, idas:animal_den/foxhound_den, HEADING, header:ignore, 0, 0, 0
21, idas:animal_den/polar_bear_den, HEADING, header:ignore, 0, 0, 0
22, idas:apothecary_abode, HEADING, header:ignore, 0, 0, 0
23, idas:ars_nouveau/archmages_tower, HEADING, header:ignore, 0, 0, 0
24, mes:astral_hideaway, HEADING, header:ignore, 0, 0, 0
25, mes:astral_meteorite, HEADING, header:ignore, 0, 0, 0
26, hexerei:baba_yaga_hut, HEADING, header:ignore, 0, 0, 0
27, bakery:bakery, HEADING, header:ignore, 0, 0, 0
28, bakery:bakery, CREATURE, minecraft:pig, 10, 1, 4
29, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
30, idas:bazaar, HEADING, header:ignore, 0, 0, 0
31, idas:bearclaw_inn, HEADING, header:ignore, 0, 0, 0
32, idas:beekeepers_house, HEADING, header:ignore, 0, 0, 0
33, brewery:brewfest_tent, HEADING, header:ignore, 0, 0, 0
34, idas:brickhouse, HEADING, header:ignore, 0, 0, 0
35, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
36, idas:castle, HEADING, header:ignore, 0, 0, 0
37, idas:cottage, HEADING, header:ignore, 0, 0, 0
38, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
39, idas:desert_camp/desert_camp, HEADING, header:ignore, 0, 0, 0
40, idas:desert_camp/desert_camp_bygwindswept, HEADING, header:ignore, 0, 0, 0
41, idas:desert_camp/desert_camp_orange, HEADING, header:ignore, 0, 0, 0
42, idas:desert_camp/desert_camp_red, HEADING, header:ignore, 0, 0, 0
43, idas:desert_market/desert_market, HEADING, header:ignore, 0, 0, 0
44, idas:desert_market/desert_market_orange, HEADING, header:ignore, 0, 0, 0
45, idas:desert_market/desert_market_red, HEADING, header:ignore, 0, 0, 0
46, terralith:desert_outpost, HEADING, header:ignore, 0, 0, 0
47, terralith:desert_outpost, MONSTER, minecraft:pillager, 10, 1, 1
48, idas:desert_pyramid, HEADING, header:ignore, 0, 0, 0
49, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
50, explorations:desert_ruin, HEADING, header:ignore, 0, 0, 0
51, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
52, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
53, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
54, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
55, idas:dig_site/dig_site, HEADING, header:ignore, 0, 0, 0
56, idas:dig_site/dig_site_desert, HEADING, header:ignore, 0, 0, 0
57, alexscaves:dino_bowl, HEADING, header:ignore, 0, 0, 0
58, idas:enchantingtower, HEADING, header:ignore, 0, 0, 0
59, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
60, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
61, mes:ender_spire, HEADING, header:ignore, 0, 0, 0
62, mes:enderbloom_grove, HEADING, header:ignore, 0, 0, 0
63, mes:enderkeep_courtyard, HEADING, header:ignore, 0, 0, 0
64, mes:enderpin_spikes, HEADING, header:ignore, 0, 0, 0
65, mes:enderskog, HEADING, header:ignore, 0, 0, 0
66, mes:enderwatch_tower, HEADING, header:ignore, 0, 0, 0
67, mes:endscraps, HEADING, header:ignore, 0, 0, 0
68, idas:farmhouse, HEADING, header:ignore, 0, 0, 0
69, alexscaves:ferrocave, HEADING, header:ignore, 0, 0, 0
